Gene,TSS,Phenotype,P Value,Gene Score,Hit Class,External
GRK7,GRK7,0.74009094,0.449568436,0.256962674,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GRK7+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRK7)
SLC12A1,SLC12A1_P1,0.278389428,0.120568733,0.255774547,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC12A1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A1)
PKIG,PKIG,-0.430604704,0.25477346,-0.255712802,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PKIG+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKIG)
GCGR,GCGR,0.673041402,0.416970992,0.255684496,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GCGR+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCGR)
CACNA2D2,CACNA2D2,0.174146844,0.034507503,0.254617744,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CACNA2D2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA2D2)
SERPINA5,SERPINA5_P2,0.780327566,0.472079593,0.254374904,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SERPINA5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA5)
SSTR5,SSTR5_P2,-3.498151117,0.84583557,-0.254364754,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SSTR5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSTR5)
RNASEL,RNASEL,0.2153078,0.066309288,0.253724231,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RNASEL+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASEL)
RDH13,RDH13_P1,0.186573582,0.043870036,0.253335582,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RDH13+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RDH13)
PPEF2,PPEF2,-0.521966558,0.327903364,-0.25276446,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPEF2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPEF2)
LATS1,LATS1,1.01467771,0.563850703,0.252488214,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=LATS1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=LATS1)
CD3G,CD3G,1.26799756,0.632386216,0.252353837,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CD3G+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD3G)
FXYD2,FXYD2_P1,0.172457985,0.034507503,0.252148486,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FXYD2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FXYD2)
GLRB,GLRB,-0.5599205,0.356115107,-0.251073729,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GLRB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLRB)
HK1,HK1_P2,0.155064546,0.024066933,0.250984256,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=HK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=HK1)
PLA2G2E,PLA2G2E,0.368291235,0.209076276,0.250325801,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PLA2G2E+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G2E)
MMP3,MMP3,0.887521116,0.522916179,0.249897475,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MMP3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP3)
SLC8A1,SLC8A1_P1,0.369642323,0.211322576,0.249528567,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC8A1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC8A1)
EIF2AK2,EIF2AK2,-0.550368452,0.352906969,-0.248953536,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=EIF2AK2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK2)
MMP26,MMP26_ENST00000300762.1,0.701239908,0.44220221,0.248504761,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MMP26+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP26)
F5,F5,0.41538681,0.252207508,0.248501832,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=F5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=F5)
SLC16A5,SLC16A5,-0.766833034,0.474192873,-0.248488393,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC16A5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A5)
PRKG2,PRKG2,-0.362959522,0.206847325,-0.248391382,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PRKG2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKG2)
OAS1,OAS1,-1.264187639,0.636785176,-0.247789697,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=OAS1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAS1)
SEC14L2,SEC14L2,-0.305120626,0.154803493,-0.247214603,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SEC14L2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC14L2)
INPP5A,INPP5A,-1.940270802,0.745894328,-0.247040508,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=INPP5A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPP5A)
BACE1,BACE1,-0.668842859,0.427678857,-0.246724238,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=BACE1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACE1)
CPA1,CPA1,-1.044950065,0.580646059,-0.246700711,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CPA1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPA1)
PDE1B,PDE1B_P1,-0.549950781,0.356115107,-0.246603211,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PDE1B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE1B)
NR1H3,NR1H3_P2,-0.574824228,0.372430279,-0.246573737,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NR1H3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H3)
CDH5,CDH5,0.294869428,0.14776873,0.244864722,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CDH5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH5)
PPP1R42,PPP1R42,-0.427626499,0.267875285,-0.244631159,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPP1R42+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R42)
LRAT,LRAT,0.643673403,0.416970992,0.244527765,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=LRAT+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRAT)
GPX2,GPX2,1.575342757,0.699657377,0.244358634,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GPX2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX2)
RPS6KA6,RPS6KA6,-0.628450062,0.408628709,-0.244260392,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RPS6KA6+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KA6)
SCNN1D,SCNN1D_P1,-0.439757233,0.278684737,-0.244015491,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SCNN1D+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCNN1D)
STK17A,STK17A,0.116502255,0.008170822,0.243225747,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=STK17A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK17A)
PPP2CB,PPP2CB,-0.374890497,0.22516737,-0.242739552,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPP2CB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2CB)
PIK3C2G,PIK3C2G,0.821893483,0.506980428,0.242465815,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PIK3C2G+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3C2G)
ANXA5,ANXA5,-0.471338907,0.306992314,-0.241736762,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ANXA5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA5)
KCNH6,KCNH6,-0.452481793,0.292608704,-0.241495306,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=KCNH6+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNH6)
PTGFR,PTGFR_P2,0.853364384,0.522916179,0.240280035,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PTGFR+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGFR)
OXCT2,OXCT2,-1.136308284,0.614921351,-0.239966069,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=OXCT2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXCT2)
AK1,AK1,-0.725755611,0.46828514,-0.239128943,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=AK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=AK1)
MAPKAPK2,MAPKAPK2,-0.604631694,0.402942526,-0.23868253,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MAPKAPK2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPKAPK2)
AKAP12,AKAP12_P2,-1.354429033,0.667929985,-0.237389503,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=AKAP12+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP12)
ACAT1,ACAT1,1.192529149,0.632386216,0.237334295,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ACAT1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAT1)
IMPA1,IMPA1,1.307758402,0.658969936,0.236880032,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=IMPA1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=IMPA1)
FER,FER_P2,1.349278921,0.667929985,0.236486848,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FER+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FER)
NMT2,NMT2,-0.8009371,0.506980428,-0.236283498,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NMT2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMT2)
TAP1,TAP1,-1.151148457,0.623627334,-0.236071606,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TAP1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAP1)
SLC12A1,SLC12A1_P2,-0.2220705,0.086735248,-0.235795429,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC12A1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A1)
SSTR2,SSTR2,-1.145148467,0.623627334,-0.234841159,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SSTR2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSTR2)
PRODH,PRODH_P1,-0.615416784,0.416970992,-0.23379324,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PRODH+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRODH)
CPS1,CPS1,0.284534698,0.151254954,0.233401079,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CPS1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPS1)
MTM1,MTM1,-1.685657973,0.727278623,-0.233125111,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MTM1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTM1)
FCRL2,FCRL2,-0.198678891,0.067226823,-0.232942539,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FCRL2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCRL2)
RYK,RYK,-3.316012153,0.850671186,-0.232910981,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RYK+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYK)
DUSP14,DUSP14_P2,1.01318861,0.589130679,0.23281895,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=DUSP14+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP14)
VTN,VTN,-1.471486977,0.695091064,-0.232433573,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=VTN+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=VTN)
PARP15,PARP15,0.844687639,0.530979422,0.232223477,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PARP15+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP15)
NEK8,NEK8,0.566203782,0.389200766,0.232045209,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NEK8+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK8)
B4GALT3,B4GALT3,-0.56616746,0.389200766,-0.232030323,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=B4GALT3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=B4GALT3)
TST,TST,0.907226293,0.55554171,0.231599748,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TST+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TST)
FGFR1,FGFR1,-1.857927094,0.750572018,-0.231511893,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FGFR1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1)
ALAS1,ALAS1,-1.276578056,0.658969936,-0.231232198,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ALAS1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALAS1)
ENPEP,ENPEP,-0.322027379,0.191726147,-0.230996247,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ENPEP+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPEP)
CSF2RA,CSF2RA,0.79650611,0.512926204,0.230943055,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CSF2RA+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2RA)
FADS2,FADS2_P1,-1.890694603,0.755258895,-0.230483521,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FADS2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FADS2)
FOLH1,FOLH1,-0.961741949,0.576425318,-0.230103448,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FOLH1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOLH1)
DNPEP,DNPEP,0.359461948,0.229923192,0.229486698,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=DNPEP+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNPEP)
HBB,HBB_P1,0.297747752,0.169631906,0.229412397,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=HBB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBB)
P4HA1,P4HA1,-0.919157269,0.563850703,-0.228719302,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=P4HA1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=P4HA1)
G6PC3,G6PC3,0.29872838,0.171557926,0.228703225,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=G6PC3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=G6PC3)
FCER1A,FCER1A,0.411851101,0.278684737,0.228530746,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FCER1A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCER1A)
ALPI,ALPI,-0.233454868,0.105170285,-0.228343829,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ALPI+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALPI)
KCNMB2,KCNMB2_P2,0.551930195,0.385810407,0.228292713,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=KCNMB2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNMB2)
CPO,CPO,0.780249475,0.510940302,0.227544029,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CPO+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPO)
SLC1A3,SLC1A3_P2,-0.110151778,0.008629062,-0.22735728,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC1A3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A3)
C1QB,C1QB,0.237519027,0.110578454,0.227146449,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=C1QB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QB)
S100A7,S100A7,-0.63417584,0.43854515,-0.227025874,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=S100A7+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A7)
TRIB2,TRIB2,-0.75873377,0.50303674,-0.22640638,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TRIB2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIB2)
YES1,YES1,0.309362747,0.18550062,0.226346688,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=YES1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=YES1)
MTMR8,MTMR8,-0.196089303,0.071972507,-0.224097399,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MTMR8+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTMR8)
CHEK2,CHEK2,-0.065484167,0.000381894,-0.223828626,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CHEK2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2)
ABO,ABO_P1,0.803888061,0.526939928,0.223672924,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ABO+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABO)
FBP2,FBP2,0.933013179,0.576425318,0.22322989,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FBP2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBP2)
AKAP7,AKAP7,0.739451717,0.49910932,0.223169723,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=AKAP7+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP7)
TRAPPC4,TRAPPC4,-1.678472148,0.736567148,-0.222880381,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TRAPPC4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC4)
CELA2A,CELA2A,0.338258589,0.220482228,0.222109523,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CELA2A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELA2A)
RDX,RDX,-0.125562169,0.017047478,-0.222036588,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RDX+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RDX)
CPD,CPD,0.207615317,0.085605431,0.221629077,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CPD+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPD)
GLP1R,GLP1R,0.835208234,0.543191435,0.221369509,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GLP1R+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLP1R)
PHKA1,PHKA1,0.923437525,0.576425318,0.220938848,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PHKA1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHKA1)
KIT,KIT,0.756298543,0.510940302,0.220559223,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=KIT+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT)
ADRBK1,ADRBK1,-1.320466612,0.681458914,-0.219937346,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ADRBK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRBK1)
L3MBTL1,L3MBTL1_P1,-0.410465506,0.292608704,-0.219070678,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=L3MBTL1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=L3MBTL1)
NISCH,NISCH,1.13258916,0.641196976,0.218599374,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NISCH+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NISCH)
NMT1,NMT1,0.267420923,0.153021399,0.218014327,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NMT1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMT1)
PON1,PON1,0.526978657,0.385810407,0.217972106,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PON1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON1)
SIRPA,SIRPA,-0.608824784,0.43854515,-0.217950559,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SIRPA+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRPA)
ATP1A1,ATP1A1,-1.222298475,0.663443944,-0.217808413,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ATP1A1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1A1)
ADRA2B,ADRA2B,-0.25142034,0.13767817,-0.216506834,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ADRA2B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA2B)
PLA2G1B,PLA2G1B_P2,-0.857087137,0.559688727,-0.216031762,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PLA2G1B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G1B)
P4HTM,P4HTM,-0.347253128,0.239648178,-0.215444824,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=P4HTM+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=P4HTM)
CLK4,CLK4,-0.626200065,0.453277485,-0.215184793,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CLK4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLK4)
TPH1,TPH1,-0.461803208,0.343392674,-0.214373194,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TPH1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPH1)
ADCK4,ADCK4,0.13752946,0.027770993,0.214052034,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ADCK4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCK4)
SST,SST,0.869599227,0.568027531,0.213600192,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SST+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SST)
RPS6KA1,RPS6KA1_P2,1.376220769,0.699657377,0.21347191,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RPS6KA1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KA1)
EPN1,EPN1,-0.991189852,0.61058851,-0.212363786,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=EPN1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPN1)
MAPK13,MAPK13_P1,0.623879245,0.457003744,0.212169005,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MAPK13+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK13)
PTPRE,PTPRE_ENST00000254667.3,-0.201297528,0.089030993,-0.211454756,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PTPRE+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRE)
EPHA4,EPHA4,-0.213733347,0.102546057,-0.2113996,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=EPHA4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA4)
ACE,ACE_P1,0.404501838,0.301183628,0.210813673,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ACE+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE)
OTC,OTC,0.274094642,0.171557926,0.209843901,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=OTC+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTC)
GABRR1,GABRR1,0.519024673,0.396035652,0.208785832,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GABRR1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRR1)
