Gene,TSS,Phenotype,P Value,Gene Score,Hit Class,External
GAPDH,GAPDH_P1,-8.361670717,0.000215234,-30.66299174,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GAPDH+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAPDH)
TRAPPC3,TRAPPC3,-8.363849891,0.000225948,-30.4945256,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TRAPPC3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC3)
TUBB,TUBB_P1,-8.583220036,0.000280653,-30.48614109,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TUBB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB)
PI4KB,PI4KB,-8.847626431,0.000373032,-30.33190992,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PI4KB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PI4KB)
MVK,MVK,-12.16451026,0.003402025,-30.02520449,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MVK+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MVK)
PGK1,PGK1,-7.63255555,0.000156405,-29.04759346,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PGK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGK1)
GSR,GSR,-9.923829479,0.001401785,-28.31584715,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GSR+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSR)
PTK2,PTK2,-7.647264972,0.000200054,-28.28610715,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PTK2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK2)
HSD17B10,HSD17B10,-7.428258025,0.000168455,-28.03065121,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=HSD17B10+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B10)
NDUFA8,NDUFA8,-7.073052727,0.000145169,-27.14726838,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFA8+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA8)
LSS,LSS,-6.959917296,0.000156405,-26.48770085,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=LSS+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSS)
UQCRB,UQCRB,-6.79793206,0.000156405,-25.87122564,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=UQCRB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCRB)
DARS2,DARS2,-6.81097078,0.000185884,-25.41008366,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=DARS2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=DARS2)
COX5A,COX5A,-7.422265298,0.000400211,-25.21871229,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=COX5A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX5A)
PARS2,PARS2,-7.072326338,0.000364363,-24.31795175,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PARS2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARS2)
WARS2,WARS2,-6.375935091,0.000200054,-23.58364511,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=WARS2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=WARS2)
NDUFB4,NDUFB4,-6.185747715,0.000168455,-23.34201856,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFB4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFB4)
NDUFA6,NDUFA6,-7.158349216,0.000579174,-23.17294325,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFA6+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA6)
LARS2,LARS2,-6.577345212,0.000301491,-23.15702798,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=LARS2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=LARS2)
NME6,NME6,-7.257374493,0.000663705,-23.06411692,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NME6+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NME6)
PPP1R12A,PPP1R12A,-7.607513212,0.00099109,-22.85210932,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPP1R12A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R12A)
RABGGTB,RABGGTB,-10.22317529,0.00607531,-22.65896832,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RABGGTB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RABGGTB)
DUT,DUT,-12.79883137,0.019799313,-21.80088787,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=DUT+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUT)
